,rtb,vol,sharpe,sortino,comb,correlaciones
0,1.1278406522803017,0.19659202306892085,0.3613945360235205,8.63407327767499,"('AAPL', 'CSCO', 'IBM')",0.344857970765849
1,1.13831588172628,0.26229487502261983,0.2733837646895209,6.588124704067281,"('AAPL', 'CRM', 'INTC')",-0.0178313044226669
2,1.1467150235134538,0.24657651729961677,0.2929567559126603,6.485868943364456,"('AAPL', 'INTC', 'MSFT')",0.3817511513747533
3,1.3736004270714952,0.25775669962631165,0.33569910584672047,8.134359626080109,"('GS', 'JPM', 'TRV')",0.975853554056012
4,1.2767388605210113,0.26145374802988314,0.3076145935456688,7.7861518515395876,"('AXP', 'JPM', 'V')",0.9152965518716303
5,1.1673726267582478,0.17491830857805826,0.4204108985358911,9.160592272664944,"('HD', 'MCD', 'NKE')",0.6840203981751873
6,0.9618906025020038,0.17874190534550088,0.33899947708070116,9.124432681634078,"('AMGN', 'MRK', 'UNH')",0.1638037592618244
7,1.048470426243969,0.22878518503632225,0.2886875243969919,6.468754640932724,"('AAPL', 'CSCO', 'INTC')",0.25828656395497185
8,1.417861974989171,0.2666446418167219,0.33496607477612833,8.448647482604127,"('AXP', 'GS', 'TRV')",0.9473903043529786
9,1.06675515702403,0.2034653917944584,0.33027365423876176,8.067842627241294,"('CRM', 'CSCO', 'IBM')",-0.019974700781607138
10,1.1688091651013726,0.21579564157568512,0.34119343723396095,8.990328879117909,"('CRM', 'IBM', 'MSFT')",0.3660036694703952
11,1.0850370470027584,0.25109359313399504,0.2722128765793416,6.670793534154383,"('CRM', 'INTC', 'MSFT')",0.3660036694703952
12,1.3095201143415722,0.26827614912195763,0.307489180788792,7.587544420798101,"('AAPL', 'CRM', 'MSFT')",0.6022223777087291
13,0.9923624689560597,0.23160193888935574,0.2699155279181409,6.162877729009932,"('CRM', 'CSCO', 'INTC')",-0.3016059810343064
14,0.9914953732288083,0.16858659578582294,0.3704822285215035,9.4409259773559,"('AMGN', 'JNJ', 'UNH')",0.3291038311908415
15,1.1925065352337865,0.2214008040749283,0.3392980030289015,8.287755814666072,"('JPM', 'TRV', 'V')",0.8418430238993873
16,1.2110111222011866,0.22028061523596806,0.34631522170086576,8.108285322005756,"('AAPL', 'CSCO', 'MSFT')",0.6981962070158257
17,1.3348932452684474,0.27768289737110136,0.30282877024362603,8.069803247093798,"('AXP', 'JPM', 'TRV')",0.9662086123698747
18,1.1451662405990524,0.2281537246606569,0.31618459241296565,8.11970851250847,"('CRM', 'CSCO', 'MSFT')",0.3660036694703952
19,1.3392387207335648,0.2882757952243383,0.29265068712046904,6.892263082357693,"('BA', 'CAT', 'MMM')",0.8551489199798231
20,0.9251428380173317,0.21615109513594363,0.26961936433829875,5.299581323227049,"('CSCO', 'IBM', 'INTC')",0.6464037114556733
21,1.2024656331061503,0.23683828722588685,0.31983095206167633,8.56203609317853,"('AAPL', 'CRM', 'CSCO')",0.25828656395497185
22,1.018052404378559,0.2108755303332885,0.30411908540594407,6.237364024511956,"('IBM', 'INTC', 'MSFT')",0.3832321639259254
23,1.0738447546158252,0.186582670942439,0.3625516817129874,7.842400778950811,"('CSCO', 'IBM', 'MSFT')",0.6981962070158257
24,1.264818543907115,0.21533679632016184,0.3700068006409352,8.277863892918246,"('GS', 'TRV', 'V')",0.8570312777062915
25,1.4686546662221636,0.2961052488414593,0.31244480868603464,7.580345884315331,"('AXP', 'GS', 'JPM')",0.9728508903486784
26,1.3144794703649763,0.23799061600139698,0.3479314637452134,7.648859644356231,"('GS', 'JPM', 'V')",0.8570312777062915
27,1.0683067869085465,0.22364296649412652,0.3009126690157382,6.362180093589012,"('AAPL', 'IBM', 'INTC')",0.344857970765849
28,1.3555710394177547,0.2513664925737119,0.339714924010046,7.991432569226257,"('AXP', 'GS', 'V')",0.9152965518716303
29,1.2289249778092426,0.23874029029751986,0.3242644835431114,8.45264712891803,"('AXP', 'TRV', 'V')",0.9152965518716303
30,0.9995383889597627,0.21444792584929828,0.2936144046310788,6.129669314425836,"('CSCO', 'INTC', 'MSFT')",0.6464037114556733
31,0.9733438194234005,0.15671856558362127,0.3912420782174411,9.41270777808352,"('JNJ', 'MRK', 'UNH')",-0.22802664552397586
32,1.227758532978807,0.22315678416873558,0.346579281041138,9.032967234512654,"('AAPL', 'CRM', 'IBM')",0.344857970765849
33,1.0110702013102069,0.22689944818701557,0.28070335330400786,6.306159370510251,"('CRM', 'IBM', 'INTC')",-0.019974700781607138
34,1.2360956955852638,0.20704299161090386,0.37608957004194593,8.72395068542677,"('AAPL', 'IBM', 'MSFT')",0.6879878246753616
35,0.9091516297046638,0.16043560000254636,0.35697295010308333,8.52824365257839,"('AMGN', 'JNJ', 'MRK')",0.1638037592618244
